x1;x2;x3;y1;y2;y3;z1;z2;z3
2.434572152;1.357865499;1.407003553;1.452689658;0.956088828;1.209581472;0.818482506;1.6070814;0.935869916
0.247273416;0.272320064;0.580241251;0.549675626;0.711531146;-0.135737642;3.664914782;2.609831023;3.152447878
-1.364775928;-0.562820534;-0.097541992;-0.983546685;-0.669774685;0.007520468;1.72493863;2.109818269;0.908362446
3.043283637;2.215376328;1.608461376;6.464146519;4.780598113;5.985944583;2.569711561;3.263353789;3.385968109
2.814884084;2.702961615;2.581195753;2.286027972;2.145764264;1.551767464;0.346785038;0.071645765;-0.01871117
-0.545345014;-0.753064187;-0.63524883;1.129487602;1.199847211;0.362109037;-0.236295792;0.602526572;0.31946813
-0.382846901;0.43972707;0.636763833;0.181532632;0.017348033;-0.173917667;1.206557683;1.19316366;1.582359546
0.305095158;0.438445307;-0.126167031;1.09513322;0.27398539;0.503189113;0.661669581;0.737253825;0.429651602
0.929149765;1.987439054;1.136591791;-0.457821968;0.700535234;0.674237934;1.438187254;1.781924213;1.70182997
0.595119154;1.095095168;0.406812944;-0.105420244;-0.313032065;-0.860420064;-0.125996472;0.505077009;-0.040797915
2.3048456;1.884085075;1.909640885;1.132495098;1.636447062;0.685759841;0.946662256;0.792841245;1.11298198
-0.33631839;-0.058878303;0.089100335;0.134984258;0.704065997;0.256566032;-0.931412079;-0.61310142;-0.630409071
1.944744514;1.651616043;0.774146239;0.691707942;1.166795735;0.924497287;0.955439579;1.323982975;0.67988541
3.263979446;2.678772089;2.814062544;1.388502743;1.675780679;1.203859586;0.493256712;0.006592948;0.786265911
2.530234907;2.701046363;2.801017518;2.120388261;3.331216222;2.203760263;1.011441015;2.100970035;0.855906854
2.809201631;2.221743571;1.957761993;0.165091688;1.068861597;1.01771939;-0.490388256;0.675698124;0.19561939
2.63742489;2.096469609;2.097217233;4.51387027;4.386522128;3.431078785;1.802551226;1.377818075;1.605276652
1.305976544;1.008522999;1.323617267;1.542370863;0.71401798;0.88426804;0.630932919;0.018022295;1.264188555
-0.329152514;0.814686598;0.07478644;0.934463693;1.810388054;0.760076188;0.451363191;1.02211239;0.544644517
1.365620399;1.806487389;0.86237921;0.654527091;0.890709283;0.227151173;2.130599184;2.561995709;1.703552111
1.937891546;1.909578178;2.17669725;3.896127017;3.136023585;3.392373352;1.510507912;1.703655619;0.567610527
2.33120035;1.993983889;2.282997863;3.206724548;2.514027791;1.99457251;3.075560184;2.063423848;1.512946801
1.563379841;0.806052748;1.046984031;2.106752201;1.77822622;1.351257377;-0.973997975;-0.363112527;-0.031574271
0.100945135;0.359984044;-0.069238453;0.605535242;0.890809131;0.545498938;-0.744707445;0.017382597;-0.636629431
1.864199083;1.836743679;0.757750322;1.99583578;2.390074038;1.268810746;1.713534424;0.590855821;0.875820312
0.867500868;2.09839664;1.240648803;3.287035958;2.903467541;3.095368571;2.536436366;2.1055697;1.303512161
2.287447906;2.188725054;1.71865287;0.419507265;0.764138858;-0.428556304;1.264757536;0.963567686;0.520802996
1.132649666;1.935066723;0.639357039;3.473305093;3.150057105;2.527101634;1.864167275;1.686069989;2.111883552
0.558714256;0.962218811;0.748371776;1.826317604;1.431322182;0.401507446;0.337232159;1.214311729;1.159620653
1.025242882;1.233256873;0.878457254;1.338311254;1.252470138;0.170321499;1.302159477;0.8121521;1.197370982
1.589315947;0.929171857;0.950813314;-1.192317457;-0.507982851;-1.110002801;-0.536627405;-0.407636437;-1.017687625
0.912503139;0.970332727;0.41024311;-1.342690507;-1.308437603;-1.209944297;-1.518098588;-0.358246382;-0.253926664
1.013640389;0.791989339;0.726519731;2.412919821;1.719054039;1.345860914;2.825318043;1.398505522;2.060310089
0.875624885;0.962047993;0.820852631;1.304986511;1.296872011;0.769775149;0.230649282;0.702074676;0.491977251
2.127350089;0.9892925;1.349435176;1.760316903;2.033368597;1.818891146;0.928046991;1.400738237;0.981911163
0.26954058;0.847674673;1.058469446;1.244420202;0.812340829;-0.060520135;-1.141425516;-0.640457528;-0.690370609
0.961655614;0.639208567;0.089370179;2.064411014;2.382779292;1.498290314;1.764187976;1.674353724;1.305852544
1.572166005;1.714577125;0.811314559;2.788643929;1.340572893;1.369243854;1.044856776;1.904797767;2.297653219
2.501687014;2.639977397;1.050038463;-1.276439097;0.270762923;-1.480259067;0.688667911;0.516934071;0.208784068
0.610723225;0.948512521;0.448763905;0.701825254;0.563969636;0.755519367;1.51475535;1.713376072;0.652214054
0.68316459;0.651002853;1.298995322;1.850421614;1.025553376;0.909788265;2.073188846;1.894719305;1.233326301
0.369615901;0.727982973;1.295241373;-0.120869065;0.954721739;-0.154495676;0.670963053;0.195702577;1.23110923
1.166292023;1.168544968;0.914747224;1.25113018;1.441509282;1.322646974;-0.21434873;0.512161933;0.287082981
1.472801558;1.52473164;1.430783918;2.459758177;1.960599361;2.648220324;2.851678324;2.634449706;2.4529248
-0.137950318;0.973805558;0.793687978;1.759351005;1.546222572;2.151634481;1.876097854;3.093614547;1.963551879
